Date,Close
3/2/2015 16:00:00,87.1
3/3/2015 16:00:00,85.36
3/4/2015 16:00:00,85.59
3/5/2015 16:00:00,86.4
3/6/2015 16:00:00,85.66
3/9/2015 16:00:00,84.74
3/10/2015 16:00:00,83.53
3/11/2015 16:00:00,85.73
3/12/2015 16:00:00,86.26
3/13/2015 16:00:00,86.37
3/16/2015 16:00:00,87.88
3/17/2015 16:00:00,87.78
3/18/2015 16:00:00,87.5
3/19/2015 16:00:00,87.11
3/20/2015 16:00:00,85.9
3/23/2015 16:00:00,84.16
3/24/2015 16:00:00,85.56
3/25/2015 16:00:00,83.95
3/26/2015 16:00:00,83.62
3/27/2015 16:00:00,83.35
3/30/2015 16:00:00,83.66
3/31/2015 16:00:00,84.82
4/1/2015 16:00:00,83.84
4/2/2015 16:00:00,83.69
4/6/2015 16:00:00,82.52
4/7/2015 16:00:00,82.86
4/8/2015 16:00:00,83.17
4/9/2015 16:00:00,84.12
4/10/2015 16:00:00,84.38
4/13/2015 16:00:00,83.01
4/14/2015 16:00:00,82.26
4/15/2015 16:00:00,81.37
4/16/2015 16:00:00,80.99
4/17/2015 16:00:00,81.2
4/20/2015 16:00:00,83.35
4/21/2015 16:00:00,80.78
4/22/2015 16:00:00,80.87
4/23/2015 16:00:00,80.74
4/24/2015 16:00:00,80.54
4/27/2015 16:00:00,79.27
4/28/2015 16:00:00,78.64
4/29/2015 16:00:00,78.99
4/30/2015 16:00:00,77.9
5/1/2015 16:00:00,80.09
5/4/2015 16:00:00,79.84
5/5/2015 16:00:00,78.62
5/6/2015 16:00:00,77.82
5/7/2015 16:00:00,78.45
5/8/2015 16:00:00,78.78
5/11/2015 16:00:00,78.34
5/12/2015 16:00:00,76.53
5/13/2015 16:00:00,74.11
5/14/2015 16:00:00,73.57
5/15/2015 16:00:00,74.96
5/19/2015 16:00:00,74.58
5/20/2015 16:00:00,73.74
5/21/2015 16:00:00,74.49
5/22/2015 16:00:00,74.41
5/25/2015 16:00:00,74.9
5/26/2015 16:00:00,74.18
5/27/2015 16:00:00,75.24
5/28/2015 16:00:00,73.95
5/29/2015 16:00:00,73.77
6/1/2015 16:00:00,73.88
6/2/2015 16:00:00,73.55
6/3/2015 16:00:00,73.66
6/4/2015 16:00:00,73.91
6/5/2015 16:00:00,73.51
6/8/2015 16:00:00,71.92
6/9/2015 16:00:00,72.6
6/10/2015 16:00:00,72.56
6/11/2015 16:00:00,73.02
6/12/2015 16:00:00,73.01
6/15/2015 16:00:00,73.21
6/16/2015 16:00:00,73.38
6/17/2015 16:00:00,73.95
6/18/2015 16:00:00,74.92
6/19/2015 16:00:00,75.4
6/23/2015 16:00:00,75.23
6/24/2015 16:00:00,74.22
6/25/2015 16:00:00,73.06
6/26/2015 16:00:00,72.66
6/29/2015 16:00:00,71.55
6/30/2015 16:00:00,72.06
7/2/2015 16:00:00,73.42
7/3/2015 16:00:00,73.86
7/6/2015 16:00:00,72.9
7/7/2015 16:00:00,73.61
7/8/2015 16:00:00,72.43
7/9/2015 16:00:00,71.75
7/10/2015 16:00:00,72.94
7/13/2015 16:00:00,74
7/14/2015 16:00:00,74.67
7/15/2015 16:00:00,76.58
7/16/2015 16:00:00,76.73
7/17/2015 16:00:00,77.81
7/20/2015 16:00:00,77.9
7/21/2015 16:00:00,79.59
7/22/2015 16:00:00,79.53
7/23/2015 16:00:00,78.56
7/24/2015 16:00:00,78.96
7/27/2015 16:00:00,78.53
7/28/2015 16:00:00,79.67
7/29/2015 16:00:00,81.08
7/30/2015 16:00:00,81.64
7/31/2015 16:00:00,81.59
8/4/2015 16:00:00,82.66
8/5/2015 16:00:00,82.95
8/6/2015 16:00:00,81.87
8/7/2015 16:00:00,81.61
8/10/2015 16:00:00,82.18
8/11/2015 16:00:00,81.05
8/12/2015 16:00:00,80.17
8/13/2015 16:00:00,80.83
8/14/2015 16:00:00,80.95
8/17/2015 16:00:00,80.11
8/18/2015 16:00:00,79.51
8/19/2015 16:00:00,78.05
8/20/2015 16:00:00,75.91
8/21/2015 16:00:00,74.19
8/24/2015 16:00:00,72.74
8/25/2015 16:00:00,71.02
8/26/2015 16:00:00,71.56
8/27/2015 16:00:00,73.35
8/28/2015 16:00:00,73.54
8/31/2015 16:00:00,73.21
9/1/2015 16:00:00,71.75
9/2/2015 16:00:00,71.41
9/3/2015 16:00:00,72
9/4/2015 16:00:00,70.8
9/8/2015 16:00:00,72.73
9/9/2015 16:00:00,73.07
9/10/2015 16:00:00,73.62
9/11/2015 16:00:00,73.23
9/14/2015 16:00:00,73.07
9/15/2015 16:00:00,74.43
9/16/2015 16:00:00,76.17
9/17/2015 16:00:00,76.4
9/18/2015 16:00:00,74.71
9/21/2015 16:00:00,76.71
9/22/2015 16:00:00,74.67
9/23/2015 16:00:00,73.39
9/24/2015 16:00:00,73.15
9/25/2015 16:00:00,74.37
9/28/2015 16:00:00,73.62
9/29/2015 16:00:00,74.42
9/30/2015 16:00:00,75.78
10/1/2015 16:00:00,75.49
10/2/2015 16:00:00,76.47
10/5/2015 16:00:00,77.26
10/6/2015 16:00:00,76.43
10/7/2015 16:00:00,78.36
10/8/2015 16:00:00,80.03
10/9/2015 16:00:00,80.43
10/13/2015 16:00:00,78
10/14/2015 16:00:00,77.42
10/15/2015 16:00:00,77.59
10/16/2015 16:00:00,76.78
10/19/2015 16:00:00,77.1
10/20/2015 16:00:00,78.59
10/21/2015 16:00:00,78.85
10/22/2015 16:00:00,80.82
10/23/2015 16:00:00,81.42
10/26/2015 16:00:00,81.81
10/27/2015 16:00:00,79.51
10/28/2015 16:00:00,81.79
10/29/2015 16:00:00,81.81
10/30/2015 16:00:00,79.87
11/2/2015 16:00:00,79.81
11/3/2015 16:00:00,79.47
11/4/2015 16:00:00,79.51
11/5/2015 16:00:00,78.78
11/6/2015 16:00:00,78.67
11/9/2015 16:00:00,79.29
11/10/2015 16:00:00,77.98
11/11/2015 16:00:00,77.98
11/12/2015 16:00:00,76.7
11/13/2015 16:00:00,76.42
11/16/2015 16:00:00,76.77
11/18/2015 16:00:00,78.72
11/19/2015 16:00:00,79.85
11/24/2015 16:00:00,78.06
11/25/2015 16:00:00,78.48
11/26/2015 16:00:00,79.28
11/27/2015 16:00:00,79.67
11/30/2015 16:00:00,79.71
12/1/2015 16:00:00,80.17
12/2/2015 16:00:00,78.42
12/3/2015 16:00:00,76.74
12/4/2015 16:00:00,76.14
12/7/2015 16:00:00,74.3
12/9/2015 16:00:00,73.77
12/10/2015 16:00:00,73.5
12/11/2015 16:00:00,72.47
12/14/2015 16:00:00,74.08
12/15/2015 16:00:00,74.85
12/16/2015 16:00:00,76.78
12/17/2015 16:00:00,77.61
12/18/2015 16:00:00,77.85
12/21/2015 16:00:00,78.85
12/22/2015 16:00:00,78.97
12/23/2015 16:00:00,78.69
12/24/2015 16:00:00,78.78
12/29/2015 16:00:00,78.27
12/30/2015 16:00:00,78.37
12/31/2015 16:00:00,77.35
1/4/2016 16:00:00,76.47
1/5/2016 16:00:00,75.47
1/7/2016 16:00:00,71.93
1/11/2016 16:00:00,73.47
1/12/2016 16:00:00,74.91
1/13/2016 16:00:00,72.9
1/14/2016 16:00:00,74.16
1/15/2016 16:00:00,72.42
1/18/2016 16:00:00,73.2
1/19/2016 16:00:00,71.7
1/20/2016 16:00:00,69.04
1/21/2016 16:00:00,69.24
1/22/2016 16:00:00,70.46
1/25/2016 16:00:00,70.15
1/26/2016 16:00:00,71.29
1/27/2016 16:00:00,71.74
1/28/2016 16:00:00,74.17
1/29/2016 16:00:00,75.95
2/1/2016 16:00:00,74.45
2/2/2016 16:00:00,72.99
2/3/2016 16:00:00,73.44
2/4/2016 16:00:00,75.72
2/5/2016 16:00:00,74.22
2/8/2016 16:00:00,75.15
2/9/2016 16:00:00,76.61
2/10/2016 16:00:00,75.73
2/11/2016 16:00:00,76.15
2/12/2016 16:00:00,76.54
2/16/2016 16:00:00,77.13
2/17/2016 16:00:00,78.21
2/18/2016 16:00:00,78.51
2/19/2016 16:00:00,78.48
2/22/2016 16:00:00,78.81
2/23/2016 16:00:00,78.52
2/24/2016 16:00:00,78.87
2/25/2016 16:00:00,78.71
2/26/2016 16:00:00,78.95
2/29/2016 16:00:00,78.6
3/1/2016 16:00:00,79.19
3/2/2016 16:00:00,77.65
3/3/2016 16:00:00,77.55
3/4/2016 16:00:00,78.82
3/7/2016 16:00:00,79.75
3/8/2016 16:00:00,79.83
3/9/2016 16:00:00,79.98
3/10/2016 16:00:00,78.7
3/11/2016 16:00:00,79.88
3/14/2016 16:00:00,79.95
3/15/2016 16:00:00,80.83
3/16/2016 16:00:00,79.95
3/17/2016 16:00:00,81.83
3/18/2016 16:00:00,80.84
3/21/2016 16:00:00,81.52
3/22/2016 16:00:00,79.56
3/23/2016 16:00:00,79.68
3/24/2016 16:00:00,80.46
3/28/2016 16:00:00,80.32
3/29/2016 16:00:00,80.61
3/30/2016 16:00:00,81.27
3/31/2016 16:00:00,81.16
4/1/2016 16:00:00,81.12
4/4/2016 16:00:00,80.68
4/6/2016 16:00:00,80.55
4/7/2016 16:00:00,80.15
4/8/2016 16:00:00,80.64
4/11/2016 16:00:00,79.83
4/12/2016 16:00:00,79.93
4/13/2016 16:00:00,81.41
4/14/2016 16:00:00,82.37
4/15/2016 16:00:00,81.18
4/18/2016 16:00:00,81.26
4/19/2016 16:00:00,81.42
4/20/2016 16:00:00,81.76
4/21/2016 16:00:00,82.88
4/22/2016 16:00:00,83.45
4/25/2016 16:00:00,82.77
4/26/2016 16:00:00,78.57
4/27/2016 16:00:00,79.04
4/28/2016 16:00:00,78.68
4/29/2016 16:00:00,77.26
5/2/2016 16:00:00,77.14
5/3/2016 16:00:00,77.52
5/4/2016 16:00:00,75.93
5/5/2016 16:00:00,76
