Date,Close
3/2/2015 16:00:00,30.2
3/3/2015 16:00:00,29.53
3/4/2015 16:00:00,29.75
3/5/2015 16:00:00,29.97
3/6/2015 16:00:00,29.86
3/9/2015 16:00:00,29.6
3/10/2015 16:00:00,29.4
3/11/2015 16:00:00,29.55
3/12/2015 16:00:00,30.03
3/13/2015 16:00:00,29.74
3/16/2015 16:00:00,29.79
3/17/2015 16:00:00,29.94
3/18/2015 16:00:00,29.78
3/19/2015 16:00:00,29.81
3/20/2015 16:00:00,30.01
3/23/2015 16:00:00,29.6
3/24/2015 16:00:00,29.98
3/25/2015 16:00:00,29.32
3/26/2015 16:00:00,29.04
3/27/2015 16:00:00,29.45
3/30/2015 16:00:00,29.9
3/31/2015 16:00:00,29.59
4/1/2015 16:00:00,29.46
4/2/2015 16:00:00,30.04
4/6/2015 16:00:00,30.13
4/7/2015 16:00:00,30.28
4/8/2015 16:00:00,31.02
4/9/2015 16:00:00,31.66
4/10/2015 16:00:00,31.59
4/13/2015 16:00:00,31.57
4/14/2015 16:00:00,31.54
4/15/2015 16:00:00,31.16
4/16/2015 16:00:00,30.78
4/17/2015 16:00:00,30.64
4/20/2015 16:00:00,30.89
4/21/2015 16:00:00,29.76
4/22/2015 16:00:00,29.68
4/23/2015 16:00:00,29.48
4/24/2015 16:00:00,29.54
4/27/2015 16:00:00,29.27
4/28/2015 16:00:00,29.16
4/29/2015 16:00:00,28.9
4/30/2015 16:00:00,28.38
5/1/2015 16:00:00,28.75
5/4/2015 16:00:00,28.75
5/5/2015 16:00:00,28.08
5/6/2015 16:00:00,27.79
5/7/2015 16:00:00,28.38
5/8/2015 16:00:00,28.82
5/11/2015 16:00:00,28.91
5/12/2015 16:00:00,28.55
5/13/2015 16:00:00,28.38
5/14/2015 16:00:00,28.63
5/15/2015 16:00:00,28.78
5/19/2015 16:00:00,29.12
5/20/2015 16:00:00,28.84
5/21/2015 16:00:00,29.09
5/22/2015 16:00:00,28.91
5/25/2015 16:00:00,29.19
5/26/2015 16:00:00,29.17
5/27/2015 16:00:00,29.22
5/28/2015 16:00:00,29.28
5/29/2015 16:00:00,28.82
6/1/2015 16:00:00,29.08
6/2/2015 16:00:00,29.03
6/3/2015 16:00:00,28.82
6/4/2015 16:00:00,28.37
6/5/2015 16:00:00,27.98
6/8/2015 16:00:00,27.78
6/9/2015 16:00:00,28.42
6/10/2015 16:00:00,28.49
6/11/2015 16:00:00,28.45
6/12/2015 16:00:00,28.08
6/15/2015 16:00:00,28.26
6/16/2015 16:00:00,27.98
6/17/2015 16:00:00,27.68
6/18/2015 16:00:00,28.56
6/19/2015 16:00:00,28.72
6/23/2015 16:00:00,29.12
6/24/2015 16:00:00,29.51
6/25/2015 16:00:00,29.48
6/26/2015 16:00:00,29.66
6/29/2015 16:00:00,28.38
6/30/2015 16:00:00,28.59
7/2/2015 16:00:00,29.07
7/3/2015 16:00:00,29.12
7/6/2015 16:00:00,29.5
7/7/2015 16:00:00,29.85
7/8/2015 16:00:00,29.17
7/9/2015 16:00:00,28.6
7/10/2015 16:00:00,28.93
7/13/2015 16:00:00,29.31
7/14/2015 16:00:00,29.58
7/15/2015 16:00:00,30.12
7/16/2015 16:00:00,30.63
7/17/2015 16:00:00,30.78
7/20/2015 16:00:00,30.37
7/21/2015 16:00:00,30.19
7/22/2015 16:00:00,30.22
7/23/2015 16:00:00,29.8
7/24/2015 16:00:00,29.67
7/27/2015 16:00:00,29.38
7/28/2015 16:00:00,29.21
7/29/2015 16:00:00,29.69
7/30/2015 16:00:00,29.54
7/31/2015 16:00:00,29.92
8/4/2015 16:00:00,30.07
8/5/2015 16:00:00,30.18
8/6/2015 16:00:00,29.94
8/7/2015 16:00:00,29.73
8/10/2015 16:00:00,29.58
8/11/2015 16:00:00,29.47
8/12/2015 16:00:00,29.26
8/13/2015 16:00:00,29.58
8/14/2015 16:00:00,29.61
8/17/2015 16:00:00,29.59
8/18/2015 16:00:00,29.55
8/19/2015 16:00:00,29.22
8/20/2015 16:00:00,28.46
8/21/2015 16:00:00,27.57
8/24/2015 16:00:00,26.65
8/25/2015 16:00:00,26.39
8/26/2015 16:00:00,27.45
8/27/2015 16:00:00,27.66
8/28/2015 16:00:00,27.74
8/31/2015 16:00:00,27.13
9/1/2015 16:00:00,26.66
9/2/2015 16:00:00,26.97
9/3/2015 16:00:00,27.18
9/4/2015 16:00:00,26.63
9/8/2015 16:00:00,26.99
9/9/2015 16:00:00,26.81
9/10/2015 16:00:00,26.78
9/11/2015 16:00:00,26.78
9/14/2015 16:00:00,26.54
9/15/2015 16:00:00,26.78
9/16/2015 16:00:00,26.73
9/17/2015 16:00:00,26.68
9/18/2015 16:00:00,26.75
9/21/2015 16:00:00,27.26
9/22/2015 16:00:00,26.86
9/23/2015 16:00:00,26.88
9/24/2015 16:00:00,26.82
9/25/2015 16:00:00,27.35
9/28/2015 16:00:00,26.57
9/29/2015 16:00:00,26.29
9/30/2015 16:00:00,27.51
10/1/2015 16:00:00,27.43
10/2/2015 16:00:00,27.6
10/5/2015 16:00:00,27.91
10/6/2015 16:00:00,27.66
10/7/2015 16:00:00,28
10/8/2015 16:00:00,28.21
10/9/2015 16:00:00,28.42
10/13/2015 16:00:00,28.29
10/14/2015 16:00:00,28.25
10/15/2015 16:00:00,28.14
10/16/2015 16:00:00,28.8
10/19/2015 16:00:00,29.14
10/20/2015 16:00:00,29.5
10/21/2015 16:00:00,29.63
10/22/2015 16:00:00,30.19
10/23/2015 16:00:00,30.46
10/26/2015 16:00:00,30.58
10/27/2015 16:00:00,30.78
10/28/2015 16:00:00,30.47
10/29/2015 16:00:00,30.55
10/30/2015 16:00:00,29.93
11/2/2015 16:00:00,29.98
11/3/2015 16:00:00,30
11/4/2015 16:00:00,29.96
11/5/2015 16:00:00,29.98
11/6/2015 16:00:00,30.02
11/9/2015 16:00:00,28.34
11/10/2015 16:00:00,29.01
11/11/2015 16:00:00,29.22
11/12/2015 16:00:00,28.92
11/13/2015 16:00:00,28.96
11/16/2015 16:00:00,29.09
11/17/2015 16:00:00,29.16
11/18/2015 16:00:00,29.67
11/19/2015 16:00:00,29.85
11/20/2015 16:00:00,30.02
11/23/2015 16:00:00,29.86
11/24/2015 16:00:00,29.78
11/25/2015 16:00:00,29.71
11/26/2015 16:00:00,29.78
11/27/2015 16:00:00,29.8
11/30/2015 16:00:00,30.04
12/1/2015 16:00:00,30.43
12/2/2015 16:00:00,29.88
12/3/2015 16:00:00,29.71
12/4/2015 16:00:00,30.1
12/7/2015 16:00:00,29.64
12/8/2015 16:00:00,29.03
12/9/2015 16:00:00,28.84
12/10/2015 16:00:00,28.98
12/11/2015 16:00:00,28.45
12/14/2015 16:00:00,28.2
12/15/2015 16:00:00,28.44
12/16/2015 16:00:00,29.23
12/17/2015 16:00:00,29.21
12/18/2015 16:00:00,28.69
12/21/2015 16:00:00,28.6
12/22/2015 16:00:00,28.76
12/23/2015 16:00:00,28.95
12/24/2015 16:00:00,29.16
12/29/2015 16:00:00,29.09
12/30/2015 16:00:00,29.04
12/31/2015 16:00:00,28.6
1/4/2016 16:00:00,27.72
1/5/2016 16:00:00,27.84
1/6/2016 16:00:00,27.25
1/7/2016 16:00:00,26.54
1/8/2016 16:00:00,26.34
1/11/2016 16:00:00,26.86
1/12/2016 16:00:00,27.11
1/13/2016 16:00:00,26.81
1/14/2016 16:00:00,27.41
1/15/2016 16:00:00,26.44
1/18/2016 16:00:00,26.47
1/19/2016 16:00:00,26.48
1/20/2016 16:00:00,26.03
1/21/2016 16:00:00,26.24
1/22/2016 16:00:00,26.82
1/25/2016 16:00:00,26.53
1/26/2016 16:00:00,26.62
1/27/2016 16:00:00,26.81
1/28/2016 16:00:00,27.32
1/29/2016 16:00:00,27.71
2/1/2016 16:00:00,27.2
2/2/2016 16:00:00,26.59
2/3/2016 16:00:00,26.11
2/4/2016 16:00:00,26.59
2/5/2016 16:00:00,26.27
2/8/2016 16:00:00,25.23
2/9/2016 16:00:00,25.06
2/10/2016 16:00:00,25.37
2/11/2016 16:00:00,24.94
2/12/2016 16:00:00,26.07
2/16/2016 16:00:00,27.03
2/17/2016 16:00:00,27.96
2/18/2016 16:00:00,27.89
2/19/2016 16:00:00,27.41
2/22/2016 16:00:00,27.7
2/23/2016 16:00:00,27.49
2/24/2016 16:00:00,27.55
2/25/2016 16:00:00,27.44
2/26/2016 16:00:00,27.45
2/29/2016 16:00:00,27.21
3/1/2016 16:00:00,28.27
3/2/2016 16:00:00,27.51
3/3/2016 16:00:00,27.43
3/4/2016 16:00:00,27.92
3/7/2016 16:00:00,27.67
3/8/2016 16:00:00,27.93
3/9/2016 16:00:00,28
3/10/2016 16:00:00,27.99
3/11/2016 16:00:00,28.66
3/14/2016 16:00:00,28.7
3/15/2016 16:00:00,29.07
3/16/2016 16:00:00,29.27
3/17/2016 16:00:00,29.81
3/18/2016 16:00:00,29.33
3/21/2016 16:00:00,29.47
3/22/2016 16:00:00,29.4
3/23/2016 16:00:00,29.48
3/24/2016 16:00:00,29.22
3/28/2016 16:00:00,29.15
3/29/2016 16:00:00,29.42
3/30/2016 16:00:00,29.65
3/31/2016 16:00:00,29.6
4/1/2016 16:00:00,29.53
4/4/2016 16:00:00,28.12
4/6/2016 16:00:00,28.18
4/7/2016 16:00:00,28.21
4/8/2016 16:00:00,28.29
4/11/2016 16:00:00,27.84
4/12/2016 16:00:00,27.88
4/13/2016 16:00:00,27.95
4/14/2016 16:00:00,28.03
4/15/2016 16:00:00,28.15
4/18/2016 16:00:00,28.38
4/19/2016 16:00:00,28.25
4/20/2016 16:00:00,28.38
4/21/2016 16:00:00,27.67
4/22/2016 16:00:00,28.03
4/25/2016 16:00:00,28.31
4/26/2016 16:00:00,28.17
4/27/2016 16:00:00,28.41
4/28/2016 16:00:00,28.1
4/29/2016 16:00:00,27.78
5/2/2016 16:00:00,27.93
5/3/2016 16:00:00,27.83
5/4/2016 16:00:00,28.57
5/5/2016 16:00:00,28.48
5/6/2016 16:00:00,28.6
5/9/2016 16:00:00,28.51
5/10/2016 16:00:00,28.97
5/11/2016 16:00:00,28.54
5/12/2016 16:00:00,28.44
5/13/2016 16:00:00,28.12
5/16/2016 16:00:00,29.16
5/17/2016 16:00:00,28.82
5/18/2016 16:00:00,29
5/19/2016 16:00:00,28.76
5/20/2016 16:00:00,29.12
5/24/2016 16:00:00,30.25
5/25/2016 16:00:00,30.09
5/26/2016 16:00:00,29.85
5/27/2016 16:00:00,30.49
5/30/2016 16:00:00,30.45
5/31/2016 16:00:00,30.15
6/1/2016 16:00:00,30.15
6/2/2016 16:00:00,30.28
6/3/2016 16:00:00,30.04
6/6/2016 16:00:00,29.48
6/7/2016 16:00:00,29.81
6/8/2016 16:00:00,29.66
6/9/2016 16:00:00,29.9
6/10/2016 16:00:00,29.86
6/13/2016 16:00:00,28.71
6/14/2016 16:00:00,28.04
6/15/2016 16:00:00,27.85
6/16/2016 16:00:00,28.1
6/17/2016 16:00:00,28.9
6/20/2016 16:00:00,28.87
6/21/2016 16:00:00,29.43
6/22/2016 16:00:00,29.35
6/23/2016 16:00:00,29.31
6/24/2016 16:00:00,28.61
6/27/2016 16:00:00,27.99
6/28/2016 16:00:00,28.19
6/29/2016 16:00:00,28.61
6/30/2016 16:00:00,28.49
7/4/2016 16:00:00,29.04
7/5/2016 16:00:00,29.01
7/6/2016 16:00:00,29.17
7/7/2016 16:00:00,28.87
7/8/2016 16:00:00,29.4
7/11/2016 16:00:00,29.83
7/12/2016 16:00:00,30.17
7/13/2016 16:00:00,30.29
7/14/2016 16:00:00,30.51
7/15/2016 16:00:00,30.47
7/18/2016 16:00:00,30.48
7/19/2016 16:00:00,30.42
7/20/2016 16:00:00,30.66
7/21/2016 16:00:00,30.45
7/22/2016 16:00:00,30.77
7/25/2016 16:00:00,30.55
7/26/2016 16:00:00,30.37
7/27/2016 16:00:00,30.14
7/28/2016 16:00:00,30
7/29/2016 16:00:00,30.06
8/2/2016 16:00:00,29.38
8/3/2016 16:00:00,29.77
8/4/2016 16:00:00,29.92
8/5/2016 16:00:00,30.49
8/8/2016 16:00:00,30.51
8/9/2016 16:00:00,30.84
8/10/2016 16:00:00,30.78
8/11/2016 16:00:00,30.56
8/12/2016 16:00:00,30.29
8/15/2016 16:00:00,30
8/16/2016 16:00:00,29.87
8/17/2016 16:00:00,29.77
8/18/2016 16:00:00,29.37
8/19/2016 16:00:00,29.31
8/22/2016 16:00:00,29.76
8/23/2016 16:00:00,29.79
8/24/2016 16:00:00,29.51
8/25/2016 16:00:00,29.18
8/26/2016 16:00:00,29.31
8/29/2016 16:00:00,29.59
8/30/2016 16:00:00,29.59
8/31/2016 16:00:00,29.5
9/1/2016 16:00:00,29.52
9/2/2016 16:00:00,29.75
9/6/2016 16:00:00,29.31
9/7/2016 16:00:00,29.4
9/8/2016 16:00:00,29.18
9/9/2016 16:00:00,28.67
9/12/2016 16:00:00,28.94
9/13/2016 16:00:00,28.56
9/14/2016 16:00:00,28.64
9/15/2016 16:00:00,29.03
9/16/2016 16:00:00,28.93
9/19/2016 16:00:00,29.13
9/20/2016 16:00:00,29.4
9/21/2016 16:00:00,29.45
9/22/2016 16:00:00,30.59
9/23/2016 16:00:00,30.67
9/26/2016 16:00:00,30.67
9/27/2016 16:00:00,30.85
9/28/2016 16:00:00,30.97
9/29/2016 16:00:00,30.95
9/30/2016 16:00:00,30.75
10/3/2016 16:00:00,30.93
10/4/2016 16:00:00,31.02
10/5/2016 16:00:00,31.29
10/6/2016 16:00:00,31.46
10/7/2016 16:00:00,31.51
10/11/2016 16:00:00,31.13
10/12/2016 16:00:00,31.4
10/13/2016 16:00:00,31.57
10/14/2016 16:00:00,31.16
10/17/2016 16:00:00,31.09
10/18/2016 16:00:00,31.48
10/19/2016 16:00:00,31.57
10/20/2016 16:00:00,31.5
10/21/2016 16:00:00,31.76
10/24/2016 16:00:00,31.87
10/25/2016 16:00:00,31.55
10/26/2016 16:00:00,31.55
10/27/2016 16:00:00,31.18
10/28/2016 16:00:00,31.19
10/31/2016 16:00:00,31.31
11/1/2016 16:00:00,31.07
11/2/2016 16:00:00,30.63
11/3/2016 16:00:00,30.74
11/4/2016 16:00:00,30.69
11/7/2016 16:00:00,31.33
11/8/2016 16:00:00,31.26
11/9/2016 16:00:00,31.1
11/10/2016 16:00:00,30.69
11/11/2016 16:00:00,29.49
11/14/2016 16:00:00,29.64
11/15/2016 16:00:00,29.68
11/16/2016 16:00:00,29.65
11/17/2016 16:00:00,30.18
11/18/2016 16:00:00,30.37
11/21/2016 16:00:00,30.05
11/22/2016 16:00:00,30.09
11/23/2016 16:00:00,29.97
11/24/2016 16:00:00,29.99
11/25/2016 16:00:00,30.38
11/28/2016 16:00:00,30.15
11/29/2016 16:00:00,30.13
11/30/2016 16:00:00,29.82
12/1/2016 16:00:00,28.98
12/2/2016 16:00:00,28.83
12/5/2016 16:00:00,28.84
12/6/2016 16:00:00,29.15
12/7/2016 16:00:00,29.45
12/8/2016 16:00:00,29.16
12/9/2016 16:00:00,29.16
12/12/2016 16:00:00,29.46
12/13/2016 16:00:00,29.76
12/14/2016 16:00:00,29.35
12/15/2016 16:00:00,29.53
12/16/2016 16:00:00,29.75
12/19/2016 16:00:00,29.83
12/20/2016 16:00:00,30.02
12/21/2016 16:00:00,29.79
12/22/2016 16:00:00,29.73
12/23/2016 16:00:00,29.75
12/28/2016 16:00:00,29.67
12/29/2016 16:00:00,29.71
12/30/2016 16:00:00,29.53
1/3/2017 16:00:00,29.74
1/4/2017 16:00:00,29.73
1/5/2017 16:00:00,29.55
1/6/2017 16:00:00,29.41
1/9/2017 16:00:00,29.04
1/10/2017 16:00:00,29.2
1/11/2017 16:00:00,29.23
1/12/2017 16:00:00,29.73
1/13/2017 16:00:00,29.89
1/16/2017 16:00:00,29.69
1/17/2017 16:00:00,29.65
1/18/2017 16:00:00,30.01
1/19/2017 16:00:00,29.79
1/20/2017 16:00:00,30.67
1/23/2017 16:00:00,30.77
1/24/2017 16:00:00,30.35
1/25/2017 16:00:00,30.43
1/26/2017 16:00:00,30.41
1/27/2017 16:00:00,30.54
1/30/2017 16:00:00,30.03
1/31/2017 16:00:00,30
2/1/2017 16:00:00,30.13
2/2/2017 16:00:00,29.83
2/3/2017 16:00:00,30.38
2/6/2017 16:00:00,30.71
2/7/2017 16:00:00,31.1
2/8/2017 16:00:00,31.2
2/9/2017 16:00:00,32.2
2/10/2017 16:00:00,31.87
2/13/2017 16:00:00,32.11
2/14/2017 16:00:00,32.05
2/15/2017 16:00:00,32.46
2/16/2017 16:00:00,32.37
2/17/2017 16:00:00,32.61
2/21/2017 16:00:00,32.69
2/22/2017 16:00:00,32.54
2/23/2017 16:00:00,32.43
2/24/2017 16:00:00,31.75
2/27/2017 16:00:00,31.97
2/28/2017 16:00:00,31.89
3/1/2017 16:00:00,32.31
3/2/2017 16:00:00,32.23
3/3/2017 16:00:00,32.28
3/6/2017 16:00:00,32.13
3/7/2017 16:00:00,32.3
3/8/2017 16:00:00,32.36
3/9/2017 16:00:00,32.25
3/10/2017 16:00:00,32.47
3/13/2017 16:00:00,32.69
3/14/2017 16:00:00,32.56
3/15/2017 16:00:00,32.68
3/16/2017 16:00:00,32.58
3/17/2017 16:00:00,32.31
3/20/2017 16:00:00,32.18
3/21/2017 16:00:00,32.03
3/22/2017 16:00:00,31.71
3/23/2017 16:00:00,31.71
3/24/2017 16:00:00,32.07
3/27/2017 16:00:00,32.05
3/28/2017 16:00:00,32.54
3/29/2017 16:00:00,32.75
3/30/2017 16:00:00,32.58
3/31/2017 16:00:00,32.3
4/3/2017 16:00:00,32.44
4/4/2017 16:00:00,32.79
4/5/2017 16:00:00,32.95
4/6/2017 16:00:00,32.97
4/7/2017 16:00:00,32.91
4/10/2017 16:00:00,32.89
4/11/2017 16:00:00,32.72
4/12/2017 16:00:00,32.57
4/13/2017 16:00:00,32.29
4/17/2017 16:00:00,32.88
4/18/2017 16:00:00,32.82
4/19/2017 16:00:00,32.74
4/20/2017 16:00:00,32.97
4/21/2017 16:00:00,32.59
4/24/2017 16:00:00,33.16
4/25/2017 16:00:00,33.46
4/26/2017 16:00:00,33.46
4/27/2017 16:00:00,33.45
4/28/2017 16:00:00,33.64
5/1/2017 16:00:00,33.77
5/2/2017 16:00:00,34.53
5/3/2017 16:00:00,34.53
5/4/2017 16:00:00,34.29
5/5/2017 16:00:00,34.37
5/8/2017 16:00:00,34.42
5/9/2017 16:00:00,34.11
5/10/2017 16:00:00,34
5/11/2017 16:00:00,34.77
5/12/2017 16:00:00,35.03
5/15/2017 16:00:00,35.23
5/16/2017 16:00:00,34.79
5/17/2017 16:00:00,33.85
5/18/2017 16:00:00,33.35
5/19/2017 16:00:00,33.81
5/23/2017 16:00:00,34.27
5/24/2017 16:00:00,34.08
5/25/2017 16:00:00,33.91
5/26/2017 16:00:00,34.25
5/29/2017 16:00:00,34.25
5/30/2017 16:00:00,33.99
5/31/2017 16:00:00,34.09
6/1/2017 16:00:00,34.11
6/2/2017 16:00:00,34.12
6/5/2017 16:00:00,34.31
6/6/2017 16:00:00,34.27
6/7/2017 16:00:00,34.18
6/8/2017 16:00:00,34.34
6/9/2017 16:00:00,34.23
6/12/2017 16:00:00,33.79
6/13/2017 16:00:00,33.71
6/14/2017 16:00:00,33.77
6/15/2017 16:00:00,33.63
6/16/2017 16:00:00,33.71
6/19/2017 16:00:00,34.01
6/20/2017 16:00:00,33.76
6/21/2017 16:00:00,33.89
6/22/2017 16:00:00,34.02
6/23/2017 16:00:00,34.25
6/26/2017 16:00:00,34.57
6/27/2017 16:00:00,34.67
6/28/2017 16:00:00,34.82
6/29/2017 16:00:00,34.35
6/30/2017 16:00:00,33.93
7/4/2017 16:00:00,33.55
7/5/2017 16:00:00,33.73
7/6/2017 16:00:00,33.64
7/7/2017 16:00:00,33.44
7/10/2017 16:00:00,33.41
7/11/2017 16:00:00,33.59
7/12/2017 16:00:00,33.47
7/13/2017 16:00:00,33.16
7/14/2017 16:00:00,33.26
7/17/2017 16:00:00,33.01
7/18/2017 16:00:00,32.9
7/19/2017 16:00:00,33.33
7/20/2017 16:00:00,33.49
7/21/2017 16:00:00,33.15
7/24/2017 16:00:00,32.97
7/25/2017 16:00:00,32.53
7/26/2017 16:00:00,32.51
7/27/2017 16:00:00,32.27
7/28/2017 16:00:00,32.09
7/31/2017 16:00:00,32.33
8/1/2017 16:00:00,32.37
8/2/2017 16:00:00,32.47
8/3/2017 16:00:00,32.31
8/4/2017 16:00:00,32.61
8/8/2017 16:00:00,32.68
8/9/2017 16:00:00,32.99
8/10/2017 16:00:00,32.6
8/11/2017 16:00:00,32.35
8/14/2017 16:00:00,32.97
8/15/2017 16:00:00,33.03
8/16/2017 16:00:00,32.93
8/17/2017 16:00:00,32.84
8/18/2017 16:00:00,32.84
8/21/2017 16:00:00,32.79
8/22/2017 16:00:00,32.87
8/23/2017 16:00:00,32.83
8/24/2017 16:00:00,32.83
8/25/2017 16:00:00,32.89
8/28/2017 16:00:00,32.73
8/29/2017 16:00:00,32.83
8/30/2017 16:00:00,33
8/31/2017 16:00:00,32.93
9/1/2017 16:00:00,32.45
9/5/2017 16:00:00,31.93
9/6/2017 16:00:00,31.71
9/7/2017 16:00:00,31.41
9/8/2017 16:00:00,31.6
9/11/2017 16:00:00,31.99
9/12/2017 16:00:00,32.18
9/13/2017 16:00:00,31.85
9/14/2017 16:00:00,31.81
9/15/2017 16:00:00,32.21
9/18/2017 16:00:00,32.9
9/19/2017 16:00:00,32.84
9/20/2017 16:00:00,33.42
9/21/2017 16:00:00,33.52
9/22/2017 16:00:00,33.43
9/25/2017 16:00:00,33.39
9/26/2017 16:00:00,33.13
9/27/2017 16:00:00,33.88
9/28/2017 16:00:00,33.75
9/29/2017 16:00:00,34.35
10/2/2017 16:00:00,34.67
10/3/2017 16:00:00,34.77
10/4/2017 16:00:00,35.06
10/5/2017 16:00:00,35.37
10/6/2017 16:00:00,35.1
10/10/2017 16:00:00,35.24
10/11/2017 16:00:00,35.33
10/12/2017 16:00:00,35.21
10/13/2017 16:00:00,35.39
10/16/2017 16:00:00,35.57
10/17/2017 16:00:00,35.74
10/18/2017 16:00:00,35.69
10/19/2017 16:00:00,35.67
10/20/2017 16:00:00,36.1
10/23/2017 16:00:00,35.86
10/24/2017 16:00:00,35.87
10/25/2017 16:00:00,35.5
10/26/2017 16:00:00,35.6
10/27/2017 16:00:00,35.74
10/30/2017 16:00:00,35.93
10/31/2017 16:00:00,36.08
11/1/2017 16:00:00,35.63
11/2/2017 16:00:00,35.54
11/3/2017 16:00:00,35.48
11/6/2017 16:00:00,35.57
11/7/2017 16:00:00,35.61
11/8/2017 16:00:00,35.9
11/9/2017 16:00:00,35.52
11/10/2017 16:00:00,35.56
11/13/2017 16:00:00,35.82
11/14/2017 16:00:00,35.13
11/15/2017 16:00:00,35.01
11/16/2017 16:00:00,35.06
11/17/2017 16:00:00,35.27
11/20/2017 16:00:00,35.3
11/21/2017 16:00:00,35.26
11/22/2017 16:00:00,35.09
11/23/2017 16:00:00,35.11
11/24/2017 16:00:00,35.58
11/27/2017 16:00:00,35.55
11/28/2017 16:00:00,35.66
11/29/2017 16:00:00,35.45
11/30/2017 16:00:00,35.75
12/1/2017 16:00:00,35.7
12/4/2017 16:00:00,35.51
12/5/2017 16:00:00,35.83
12/6/2017 16:00:00,35.83
12/7/2017 16:00:00,36.83
12/8/2017 16:00:00,37.18
12/11/2017 16:00:00,37.17
12/12/2017 16:00:00,37.59
12/13/2017 16:00:00,37.59
12/14/2017 16:00:00,37.27
12/15/2017 16:00:00,37.49
12/18/2017 16:00:00,37.55
12/19/2017 16:00:00,37.24
12/20/2017 16:00:00,36.91
12/21/2017 16:00:00,36.44
12/22/2017 16:00:00,36.39
12/27/2017 16:00:00,36.55
12/28/2017 16:00:00,36.55
12/29/2017 16:00:00,36.48
1/2/2018 16:00:00,35.93
1/3/2018 16:00:00,36.13
1/4/2018 16:00:00,36.39
1/5/2018 16:00:00,36.11
1/8/2018 16:00:00,36.04
1/9/2018 16:00:00,36.19
1/10/2018 16:00:00,35.27
1/11/2018 16:00:00,35.47
1/12/2018 16:00:00,35.56
1/15/2018 16:00:00,35.27
1/16/2018 16:00:00,35.37
1/17/2018 16:00:00,35.71
1/18/2018 16:00:00,35.57
1/19/2018 16:00:00,35.61
1/22/2018 16:00:00,35.13
1/23/2018 16:00:00,35.02
1/24/2018 16:00:00,34.87
1/25/2018 16:00:00,34.46
1/26/2018 16:00:00,34.29
1/29/2018 16:00:00,33.93
1/30/2018 16:00:00,33.93
1/31/2018 16:00:00,34.32
2/1/2018 16:00:00,34.13
2/2/2018 16:00:00,33.19
2/5/2018 16:00:00,32.33
2/6/2018 16:00:00,33.03
2/7/2018 16:00:00,32.89
2/8/2018 16:00:00,31.99
2/9/2018 16:00:00,32.42
2/12/2018 16:00:00,32.63
2/13/2018 16:00:00,32.75
2/14/2018 16:00:00,32.26
2/15/2018 16:00:00,32.95
2/16/2018 16:00:00,33.73
2/20/2018 16:00:00,33.87
2/21/2018 16:00:00,34.07
2/22/2018 16:00:00,34.08
2/23/2018 16:00:00,34.13
2/26/2018 16:00:00,34.12
2/27/2018 16:00:00,33.62
2/28/2018 16:00:00,33.17
3/1/2018 16:00:00,32.88
3/2/2018 16:00:00,33.4
3/5/2018 16:00:00,33.98
3/6/2018 16:00:00,34.03
3/7/2018 16:00:00,34.09
3/8/2018 16:00:00,34.45
3/9/2018 16:00:00,34.33
3/12/2018 16:00:00,34.18
3/13/2018 16:00:00,34.16
3/14/2018 16:00:00,34.37
3/15/2018 16:00:00,34.93
3/16/2018 16:00:00,34.98
3/19/2018 16:00:00,34.35
3/20/2018 16:00:00,34.47
3/21/2018 16:00:00,34.37
3/22/2018 16:00:00,33.34
3/23/2018 16:00:00,33.19
3/26/2018 16:00:00,33.78
3/27/2018 16:00:00,33.33
